"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 22 20:28:50 GMT 2022","Mon Aug 22 20:28:51 GMT 2022","484","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
"passed","Mon Aug 22 20:28:51 GMT 2022","Mon Aug 22 20:28:51 GMT 2022","17","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Mon Aug 22 20:28:51 GMT 2022","Mon Aug 22 20:28:51 GMT 2022","156","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
"passed","Mon Aug 22 20:28:45 GMT 2022","Mon Aug 22 20:28:47 GMT 2022","1325","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
"passed","Mon Aug 22 20:28:51 GMT 2022","Mon Aug 22 20:28:51 GMT 2022","54","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"passed","Mon Aug 22 20:28:50 GMT 2022","Mon Aug 22 20:28:50 GMT 2022","170","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"passed","Mon Aug 22 20:28:50 GMT 2022","Mon Aug 22 20:28:50 GMT 2022","18","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"passed","Mon Aug 22 20:28:49 GMT 2022","Mon Aug 22 20:28:50 GMT 2022","505","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Mon Aug 22 20:28:50 GMT 2022","Mon Aug 22 20:28:50 GMT 2022","58","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
