"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","8","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"passed","Sun Aug 21 22:13:09 GMT 2022","Sun Aug 21 22:13:09 GMT 2022","942","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","79","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","36","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","9","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","151","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","82","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","65","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
"passed","Sun Aug 21 22:13:12 GMT 2022","Sun Aug 21 22:13:12 GMT 2022","279","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Unprocessable Entity"
