"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 22:20:36 GMT 2022","Tue Aug 23 22:20:36 GMT 2022","21","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 22:20:36 GMT 2022","Tue Aug 23 22:20:37 GMT 2022","60","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 22:20:37 GMT 2022","Tue Aug 23 22:20:37 GMT 2022","14","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Tue Aug 23 22:20:37 GMT 2022","Tue Aug 23 22:20:37 GMT 2022","40","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"passed","Tue Aug 23 22:20:37 GMT 2022","Tue Aug 23 22:20:37 GMT 2022","241","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 22:20:36 GMT 2022","Tue Aug 23 22:20:36 GMT 2022","253","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Tue Aug 23 22:20:36 GMT 2022","Tue Aug 23 22:20:36 GMT 2022","99","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 22:20:33 GMT 2022","Tue Aug 23 22:20:34 GMT 2022","854","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
"passed","Tue Aug 23 22:20:37 GMT 2022","Tue Aug 23 22:20:37 GMT 2022","58","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
