"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","13","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","49","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","57","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:09:05 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","125","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 16:09:05 GMT 2022","Tue Aug 23 16:09:05 GMT 2022","309","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Tue Aug 23 16:09:02 GMT 2022","Tue Aug 23 16:09:03 GMT 2022","1058","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","418","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","20","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 16:09:06 GMT 2022","Tue Aug 23 16:09:06 GMT 2022","262","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
