"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 23 16:14:33 GMT 2022","Tue Aug 23 16:14:33 GMT 2022","114","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccount","Test Create Account","Test Create Account Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:14:32 GMT 2022","Tue Aug 23 16:14:32 GMT 2022","34","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerNameNull","Test Create Customer name is null","Test Create Customer name is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 16:14:32 GMT 2022","Tue Aug 23 16:14:32 GMT 2022","140","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomerSurnameNull","Test Create Customer surname is null","Test Create Customer surname is null Acceptance Criteria = 400 Success"
"passed","Tue Aug 23 16:14:32 GMT 2022","Tue Aug 23 16:14:33 GMT 2022","355","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomer","Test Get Customer","Test Get Customer Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:14:32 GMT 2022","Tue Aug 23 16:14:32 GMT 2022","38","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testCreateCustomer","Test Create Customer","Test Create Customer Acceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:14:32 GMT 2022","Tue Aug 23 16:14:32 GMT 2022","313","","Customer Controller Test","","com.example.accountengine.customer.CustomerControllerTest","testGetCustomerNotFound","Test Get Customer not found","Test Get Customer not foundAcceptance Criteria = 422 Unprocessable Entity"
"passed","Tue Aug 23 16:14:29 GMT 2022","Tue Aug 23 16:14:30 GMT 2022","888","","com.example.accountengine.ApplicationTests","","com.example.accountengine.ApplicationTests","initialize","initialize()",""
"passed","Tue Aug 23 16:14:33 GMT 2022","Tue Aug 23 16:14:33 GMT 2022","26","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountInitialZero","Test Create Account initial Zero","Test Create Account initial ZeroAcceptance Criteria = 200 Success"
"passed","Tue Aug 23 16:14:33 GMT 2022","Tue Aug 23 16:14:33 GMT 2022","10","","Account Controller Test","","com.example.accountengine.customer.account.AccountControllerTest","testCreateAccountCustomerNotFound","Test Create Account Customer Not Found","Test Create Account Customer Not FoundAcceptance Criteria = 422 Unprocessable Entity"
